food_item,calories,proteins,carbohydrates,fats,fibers,sugars,sodium,cholesterol
"ALMONDS,OIL RSTD,W/SALT",607.0,21.23,17.68,55.17,10.5,4.55,339.0,0.0
"ALMONDS,OIL RSTD,WO/SALT",607.0,21.23,17.68,55.17,10.5,4.55,1.0,0.0
"AMARANTH GRAIN,CKD",102.0,3.8,18.69,1.58,2.1,3.3920000000000003,6.0,0.0
"AMARANTH GRAIN,UNCKD",371.0,13.56,65.25,7.02,6.7,1.69,4.0,0.0
"AMARANTH LEAVES,CKD,BLD,DRND,W/SALT",21.0,2.11,4.11,0.18,1.8,2.2340000000000004,257.0,0.0
"AMARANTH LEAVES,CKD,BLD,DRND,WO/SALT",21.0,2.11,4.11,0.18,2.12,1.196,21.0,0.0
"AMARANTH LEAVES,RAW",23.0,2.46,4.02,0.33,2.14,2.544,20.0,0.0
"ANCHOVY,EUROPEAN,CND IN OIL,DRND SOL",210.0,28.89,0.0,9.71,0.0,0.0,3668.0,85.0
"ANCHOVY,EUROPEAN,RAW",131.0,20.35,0.0,4.84,0.0,0.0,104.0,60.0
"ANDREA'S,GLUTEN FREE SOFT DINNER ROLL",257.0,5.65,40.24,8.2,2.9,2.98,544.0,8.0
"ANIMAL FAT,BACON GREASE",897.0,0.0,0.0,99.5,0.0,0.0,150.0,95.0
ANISE SEED,337.0,17.6,50.02,15.9,14.6,3.874,16.0,0.0
"APPLE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C",46.0,0.1,11.3,0.13,0.2,9.62,4.0,0.0
"APPLE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C,CA,& K",48.0,0.12,11.49,0.17,0.3,9.47,5.0,0.0
"APPLE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C",46.0,0.1,11.3,0.13,0.2,9.62,4.0,0.0
"APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O WO/ VIT C",47.0,0.14,11.54,0.1,0.1,10.93,7.0,0.0
"APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O,W/ VIT C",47.0,0.14,11.54,0.1,0.1,7.473999999999999,7.0,0.0
"APPLE JUC,FRZ CONC,UNSWTND,UNDIL,W/ VIT C",166.0,0.51,41.0,0.37,1.36,38.83,25.0,0.0
"APPLE JUC,FRZ CONC,UNSWTND,UNDIL,WO/ VIT C",166.0,0.51,41.0,0.37,0.4,38.83,25.0,0.0
"APPLEBEE'S,9 OZ HOUSE SIRLOIN STEAK",189.0,26.85,0.0,9.08,0.8,0.0,604.0,79.0
"APPLEBEE'S,CHICK TENDERS PLATTER",297.0,19.62,17.98,16.24,1.0,0.36,740.0,52.0
"APPLEBEE'S,CHICK TENDERS,FROM KIDS' MENU",296.0,19.25,18.36,16.15,1.2,0.39,763.0,51.0
"APPLEBEE'S,CHILI",157.0,12.56,4.57,9.79,1.4,2.27,381.0,45.0
"APPLEBEE'S,COLESLAW",120.0,0.79,13.17,7.09,2.8,9.33,178.0,2.0
"APPLEBEE'S,CRUNCHY ONION RINGS",356.0,4.58,40.17,19.61,3.1,4.48,833.0,40.2
"APPLEBEE'S,DOUBLE CRUNCH SHRIMP",323.0,12.31,25.96,18.9,2.6,1.07,838.0,86.0
"APPLEBEE'S,FISH,HAND BATTERED",202.0,13.23,16.65,9.14,0.9,0.51,607.0,34.0
"APPLEBEE'S,FRENCH FR",290.0,3.31,39.5,13.17,3.9,0.0,618.0,1.0
"APPLEBEE'S,KRAFT,MACARONI & CHS,FROM KID'S MENU",143.0,5.01,21.08,4.34,1.3,3.7,288.0,7.0
"APPLEBEE'S,MOZZARELLA STKS",316.0,14.87,22.87,18.37,2.1,2.8,838.0,33.0
"APPLES,CND,SWTND,SLICED,DRND,HTD",67.0,0.18,16.84,0.43,2.0,14.84,3.0,0.0
"APPLES,CND,SWTND,SLICED,DRND,UNHTD",67.0,0.18,16.7,0.49,1.7,15.0,3.0,0.0
"APPLES,DEHYD (LO MOIST),SULFURED,STWD",74.0,0.28,19.91,0.12,2.6,8.548,26.0,0.0
"APPLES,DEHYD (LO MOIST),SULFURED,UNCKD",346.0,1.32,93.53,0.58,12.4,81.13,124.0,0.0
"APPLES,DRIED,SULFURED,STWD,W/ SUGAR",83.0,0.2,20.73,0.07,1.9,13.773999999999996,19.0,0.0
"APPLES,DRIED,SULFURED,STWD,WO/ SUGAR",57.0,0.22,15.32,0.07,2.0,13.32,20.0,0.0
"APPLES,DRIED,SULFURED,UNCKD",243.0,0.93,65.89,0.32,8.7,57.19,87.0,0.0
"APPLES,FRZ,UNSWTND,HTD",47.0,0.29,12.0,0.33,1.3,8.440000000000001,3.0,0.0
"APPLES,FRZ,UNSWTND,UNHTD",48.0,0.28,12.31,0.32,1.3,10.1,3.0,0.0
"APPLES,RAW,FUJI,W/ SKN",63.0,0.2,15.22,0.18,2.1,11.68,1.0,0.0
"APPLES,RAW,GALA,W/ SKN",57.0,0.25,13.68,0.12,2.3,10.37,1.0,0.0
"APPLES,RAW,GOLDEN DELICIOUS,W/ SKN",57.0,0.28,13.6,0.15,2.4,10.04,2.0,0.0
"APPLES,RAW,GRANNY SMITH,W/ SKN",58.0,0.44,13.61,0.19,2.8,9.59,1.0,0.0
"APPLES,RAW,RED DELICIOUS,W/ SKN",59.0,0.27,14.06,0.2,2.3,10.48,1.0,0.0
"APPLES,RAW,WITH SKIN",52.0,0.26,13.81,0.17,2.4,10.39,1.0,0.0
"APPLES,RAW,WITHOUT SKIN",48.0,0.27,12.76,0.13,1.3,10.1,0.0,0.0
"APPLES,RAW,WO/ SKN,CKD,MICROWAVE",56.0,0.28,14.41,0.42,2.8,11.61,1.0,0.0
"APPLES,RAW,WO/SKN,CKD,BLD",53.0,0.26,13.64,0.36,2.4,11.01,1.0,0.0
"APPLESAUCE,CND,SWTND,W/SALT",76.0,0.18,19.91,0.18,1.2,9.964,28.0,0.0
"APPLESAUCE,CND,SWTND,WO/ SALT (INCLUDES USDA COMMODITY)",68.0,0.16,17.49,0.17,1.2,14.67,2.0,0.0
"APPLESAUCE,CND,UNSWTND,W/ VIT C",42.0,0.17,11.27,0.1,1.1,9.39,2.0,0.0
"APPLESAUCE,CND,UNSWTND,WO/ADDED VIT C (INCLUDES USDA COMMOD)",42.0,0.17,11.27,0.1,1.1,9.39,2.0,0.0
"APRICOT NECTAR,CND,W/ VIT C",56.0,0.37,14.39,0.09,0.6,13.24,3.0,0.0
"APRICOT NECTAR,CND,WO/ VIT C",56.0,0.37,14.39,0.09,0.6,13.79,3.0,0.0
"APRICOTS,CND,EX HVY SYRUP PK,WO/SKN,SOL&LIQUIDS",96.0,0.55,24.85,0.04,1.6,5.409999999999999,13.0,0.0
"APRICOTS,CND,EX LT SYRUP PK,W/SKN,SOL&LIQUIDS",49.0,0.6,12.5,0.1,1.6,10.84,2.0,0.0
"APRICOTS,CND,H2O PK,W/SKN,SOL&LIQUIDS",27.0,0.71,6.39,0.16,1.6,4.79,3.0,0.0
"APRICOTS,CND,H2O PK,WO/SKN,SOL&LIQUIDS",22.0,0.69,5.48,0.03,1.1,3.056,11.0,0.0
"APRICOTS,CND,HVY SYRUP PK,W/SKN,SOL&LIQUIDS",83.0,0.53,21.47,0.08,1.6,19.87,4.0,0.0
"APRICOTS,CND,HVY SYRUP PK,WO/SKN,SOL&LIQUIDS",83.0,0.51,21.45,0.09,1.6,11.94,11.0,0.0
"APRICOTS,CND,HVY SYRUP,DRND",83.0,0.64,21.31,0.11,2.7,18.65,4.0,0.0
"APRICOTS,CND,JUC PK,W/SKN,SOL&LIQUIDS",48.0,0.63,12.34,0.04,1.6,10.74,4.0,0.0
"APRICOTS,CND,LT SYRUP PK,W/SKN,SOL&LIQUIDS",63.0,0.53,16.49,0.05,1.6,14.89,4.0,0.0
"APRICOTS,DEHYD (LOW-MOISTURE),SULFURED,STWD",126.0,1.93,32.62,0.24,5.0200000000000005,13.514,5.0,0.0
"APRICOTS,DEHYD (LOW-MOISTURE),SULFURED,UNCKD",320.0,4.9,82.89,0.62,4.5,43.760000000000005,13.0,0.0
"APRICOTS,DRIED,SULFURED,STWD,W/ SUGAR",113.0,1.17,29.26,0.15,4.1,12.996,3.0,0.0
"APRICOTS,DRIED,SULFURED,STWD,WO/ SUGAR",85.0,1.2,22.15,0.18,2.6,19.57,4.0,0.0
"APRICOTS,DRIED,SULFURED,UNCKD",241.0,3.39,62.64,0.51,7.3,53.44,10.0,0.0
"APRICOTS,FROZEN,SWEETENED",98.0,0.7,25.1,0.1,2.2,12.239999999999998,4.0,0.0
"APRICOTS,RAW",48.0,1.4,11.12,0.39,2.0,9.24,1.0,0.0
"ARBY'S,RST BF SNDWCH,CLASSIC",242.0,15.17,22.21,10.3,1.3,3.84,653.0,30.0
"ARCHWAY HOME STYLE COOKIES,FROSTY LEMON",430.0,4.41,64.78,17.11,0.7,33.35,449.0,0.0
"ARCHWAY HOME STYLE COOKIES,PNUT BUTTER",480.0,9.0,58.48,24.28,2.8,32.55,404.0,37.0
"ARCHWAY HOME STYLE COOKIES,RASPBERRY FILLED",400.0,4.35,65.92,13.26,2.2,31.76,334.0,6.0
"ARCHWAY HOME STYLE COOKIES,SUGAR FREE OATMEAL",442.0,5.54,67.2,20.92,1.9,1.26,308.0,0.0
"ARCHWAY Home Style Cookies, Chocolate Chip Ice Box",497.0,4.28,65.02,24.4,2.0,34.06,270.0,13.0
"ARCHWAY Home Style Cookies, Coconut Macaroon",460.0,3.02,61.23,22.55,5.1,45.16,200.0,0.0
"ARCHWAY Home Style Cookies, Date Filled Oatmeal",400.0,4.67,68.16,12.05,2.1,34.27,331.0,6.0
"ARCHWAY Home Style Cookies, Dutch Cocoa",431.0,4.5,69.44,14.99,2.6,35.35,384.0,7.0
"ARCHWAY Home Style Cookies, Iced Molasses",420.0,3.5,69.12,14.43,1.0,38.43,605.0,12.0
"ARCHWAY Home Style Cookies, Iced Oatmeal",435.0,4.89,66.76,16.53,2.0,37.2,377.0,8.0
"ARCHWAY Home Style Cookies, Molasses",403.0,4.25,69.41,12.06,1.2,36.35,577.0,25.0
"ARCHWAY Home Style Cookies, Oatmeal",421.0,5.48,68.17,14.08,2.9,34.5,394.0,10.0
"ARCHWAY Home Style Cookies, Oatmeal Raisin",406.0,5.17,69.27,12.08,2.7,39.55,339.0,8.0
"ARCHWAY Home Style Cookies, Old Fashioned Molasses",406.0,4.27,70.55,11.83,1.1,36.09,561.0,25.0
"ARCHWAY Home Style Cookies, Old Fashioned Windmill Cookies",468.0,5.17,72.23,17.55,1.8,32.64,471.0,1.0
