food_item,calories,proteins,carbohydrates,fats,fibers,sugars,sodium
Brown Bread - Kwality - 400g,"1,105 kj
(264 kcal)",,,,,,
OATS - Disano - 1 KG,"1,665 kj
(398 kcal)",17.83 g,65.04 g,7.38 g,14.1 g,1 g,
Ratlami sev - Haldiram's,"2,458 kj
(587 kcal)",13.42 g,38.76 g,42.04 g,,0 g,2.492 g
Cornflakes - Kellogg's,"469 kj
(112 kcal)",2.4 g,25.7 g,0.3 g,0.8 g,2.5 g,0.575 g
Sandwich Bread - Nilgiris - 400g,"1,132 kj
(270 kcal)",8.4 g,54.98 g,1.9 g,2.1 g,5.06 g,
Rice bran oil,"3,766 kj
(900 kcal)",0 g,0 g,100 g,0 g,0 g,
8.90155E+12,"0 kj
(535 kcal)",0 g,350 mg,31 g,52.1 g,58 g,6 g
Hershey's Spreads Cocoa with Almond - 150g,"2,293 kj
(548 kcal)",59.5 g,0.3 g,32.7 g,61.4 g,13 mg,
Intense café flavoured milk,"293 kj
(70 kcal)",3.2 g,10.8 g,1.6 g,0 g,9.4 g,0.23 g
Mad angles mmmmm masala,"2,284 kj
(546 kcal)",6.6 g,57.7 g,32.1 g,,3.4 g,1.925 g
Chowpati bhelpuri,"2,360 kj
(564 kcal)",13 g,45 g,16 g,8 g,4 g,0.992 g
Dried Dates - Dmart Premia Superior Quality - 500g,"1,535 kj
(366 kcal)",,,,,,
Swiss Beauty Makeup Primer - 30 ml,,,,,,,0%
Chocolate family pack - Amul,"929 kj
(222 kcal)",4.4 g,24.4 g,12.2 g,,,
Googly,"1,925 kj
(460 kcal)",6.23 g,68.33 g,23.94 g,,21.49 g,0.335 g
Poha - Lazmi - 1kg,0.85 g,5.6 g,7.12 g,0.22 g,0 g,3.85 g,
Tropicana,"209 kj
(50 kcal)",0.1 g,12.4 g,0 g,0 g,12 g,0 g
Fanta - coca cola company,"234 kj
(56 kcal)",,,,,,
8.90227E+12,"2,038 kj
(487 kcal)",6 g,72.6 g,19.1 g,,28.8 g,
Classic Dahi - Mother Diary,"259 kj
(62 kcal)",3.7 g,5 g,3 g,0 g,5 g,0.1 g
Roasted Flax Seeds - Himalayan Natives - 150 g,"2,381 kj
(569 kcal)",21.55 g,29.35 g,40.6 g,25.22 g,0 g,0.2 g
Topp Up,"720 kj
(172 kcal)",6.5 g,25.8 g,3 g,60 g,15.4 g,0.25 g
Parle G biscuits,"1,933 kj
(462 kcal)",6.7 g,75.9 g,14.6 g,,27.7 g,0.702 g
Orbit Sepermint Flavour,"774 kj
(185 kcal)",0 g,70 g,1.5 g,0 g,0 g,
Peanut Butter - My Fitness - 1.25 Kg,"2,615 kj
(625 kcal)",26 g,19 g,50 g,,10 g,0.875 g
Butter Bonn Biscuits,"2,105 kj
(503 kcal)",7.2 g,74.3 g,19.4 g,0.9 g,26.5 g,0.87 g
creamy corn,"1,598 kj
(382 kcal)",10.3 g,71.4 g,6.7 g,,11.4 g,
Dry Fruits,"255 kj
(61 kcal)",1.1 g,15 g,0.5 g,3 g,9 g,
Doritos,"628 kj
(150 kcal)",2 g,18 g,7 g,1 g,0 g,0.7 g
Stack Up - Simply Salted - Balaji Wafer - 60g,"2,264 kj
(541 kcal)",4.8 g,58.7 g,31.1 g,0 g,0.5 g,2.125 g
Special Toned Milk - nandini - 200ml,,,,,,,0%
Pepsi,"180 kj
(43 kcal)",0 g,10.9 g,0 g,,10.9 g,
Instant noodles - Maggi,"1,628 kj
(389 kcal)",8 g,59.6 g,13.5 g,,1.8 g,4.6 g
Choco Fill'O' - Gone Mad - 24 g,"1,992 kj
(476 kcal)",,0.1 g,18 g,28 g,72 g,6 g
Lay's American Style Cream And Onion,"418 kj
(100 kcal)",6.7 g,53 g,33 g,0 g,16 g,
garlic,"2,081 kj
(497 kcal)",6.1 g,58.16 g,26.71 g,,4.9 g,1.588 g
cornado,"2,218 kj
(530 kcal)",5 g,63 g,29 g,4 g,3 g,1.575 g
collagen refreshers,"251 kj
(60 kcal)",11 g,3 g,0 g,0 g,1 g,0 g
Dlecta Natural Cheddar,"1,632 kj
(390 kcal)",24 g,6 g,30 g,,,
Tiger glucose biscuits - Britannia - 49.7 grams,"1,912 kj
(457 kcal)",7.5 g,76.6 g,13.4 g,,24.1 g,0.317 g
banana mari,"2,322 kj
(555 kcal)",2.77 g,54.58 g,36.21 g,0 g,0 g,
Pure Made Syrup - Torani,"1,116 kj
(266 kcal)",,66.7 g,,,66.7 g,
Horlicks - 18g,,,,,,,0%
Taan jeera masala sofa,"138 kj
(33 kcal)",0 g,8.2 g,0 g,,8.2 g,0 g
Elite good for you - 200g,1.78 g,246 g,1.78 g,0.38 g,6.26 g,,0%
Bourn Vita,"1,904 kj
(455 kcal)",6.7 g,73.5 g,15.1 g,,34.2 g,0.705 g
Soystix - Haldiram's,"795 kj
(190 kcal)",3 g,17 g,12 g,1 g,1 g,1.025 g
Tofu - Mooz Formaggio - 200 g,"586 kj
(140 kcal)",14.19 g,4.5 g,2.89 g,,,
chocolate,"2,319 kj
(554 kcal)",7.2 g,57 g,33 g,11.8 g,32 g,
Britannia treat Croissant Mixed Fruit - 47g,"1,690 kj
(404 kcal)",5.5 g,59 g,16.2 g,,26.2 g,2 g
Tarte en or - Herta,"33 kj
(8 kcal)",7.4 g,18 g,9.9 g,2.8 g,0.8 g,38 g
Papdi gathiya,"2,628 kj
(628 kcal)",12.5 g,36 g,46.5 g,,1 g,1.978 g
banana sily yellow,"2,284 kj
(546 kcal)",3.1 g,58.5 g,33.4 g,0 g,0 g,
cold coffee,"172 kj
(41 kcal)",1.889 g,6.333 g,0.944 g,,6.333 g,
Britannia Good day Chocolate Cookies,"2,142 kj
(512 kcal)",6.1 g,68 g,24 g,,33.4 g,0.51 g
Jim Jam - Britannia - 25g,"2,021 kj
(483 kcal)",,,,,,
Rasgulla - Haldiram's - 1kg,"1,046 kj
(250 kcal)",7.143 g,57.143 g,1.071 g,3.571 g,53.571 g,
Whole Wheat Sandwich Bread - Britannia,"1,013 kj
(242 kcal)",50 g,0.5 g,2 g,0 g,0.5 g,2 g
Pintola High Protien Peanut Butter - 1kg,"2,439 kj
(583 kcal)",6.2 g,"9,000 mg",38 g,15.5 g,27 g,30 g
strawberry milkshake,"659 kj
(157 kcal)",4.3 g,21.8 g,5.9 g,,21.4 g,0.29 g
7up 750ml - PepsiCo - 750 ml,"197 kj
(47 kcal)",0 g,11.7 g,0 g,,11.7 g,
Dahi,"251 kj
(60 kcal)",3.6 g,4.52 g,3 g,0 g,0 g,
Yippee magic masala noodles four in one pack,"1,920 kj
(459 kcal)",9 g,62.6 g,20.1 g,,3 g,0.935 g
Hide and seek chocolate chip cookies,"2,004 kj
(479 kcal)",5.9 g,73.4 g,18 g,,32.5 g,0.285 g
Bovonto,"285 kj
(68 kcal)",0 g,17 g,0 g,0 g,17 g,
Organic Coconut Oil,"3,724 kj
(890 kcal)",0 g,0 g,100 g,0 g,0 g,
COCOA POWDER,"1,644 kj
(393 kcal)",23.2 g,49.7 g,11.1 g,,0 g,0.1 g
"Isopure, Low Carb, Dutch Chocolate - Nature's Best","1,395 kj
(333 kcal)",75.758 g,3.03 g,1.515 g,3.03 g,,
Curd,"318 kj
(76 kcal)",4 g,6 g,48 g,0 g,6 g,0.125 g
Max protein,"962 kj
(230 kcal)",20 g,31.7 g,7.7 g,7 g,1.5 g,0 g
aamras,"280 kj
(67 kcal)",0 g,8 g,0 g,0 g,6 g,0 g
Fresho Frozen Green pea - Big basket - 500g,"385 kj
(92 kcal)",8.5 g,14.3 g,0.1 g,,0 g,0 g
"Strawberry, Chocolate, Jaggery - again - 180 ml","326 kj
(78 kcal)",11 g,0.1 g,2 g,12 g,5 mg,0 g
Confiture cherry reserve,"1,092 kj
(261 kcal)",0.6 g,65 g,0.1 g,0.9 g,64 g,0 g
Marie Gold - Britania - 45g,"1,895 kj
(453 kcal)",8.3 g,77.5 g,,,,
Green Tea - 1,,,,,,,0%
Gourmet Vintage Cheese & Paprika Chips,"2,121 kj
(507 kcal)",7.6 g,61.2 g,25.8 g,,3.6 g,1.555 g
Poop,"1,674 kj
(400 kcal)",100 g,0 g,1 g,81 g,0 g,0 g
Disinfecting wipes,"418 kj
(100 kcal)",5.1 g,66.2 g,24.5 g,0 g,39.7 g,0.488 g
Orion The Ultimate Choco Chip Cookies - 100 g,"2,223 kj
(531 kcal)",,0.04 g,30 g,26.5 g,59.2 g,6 g
Southern Classic Bread - fresh choice - 400 g,"1,157 kj
(276 kcal)",,0.1 g,0.8 g,"1,000 mg",0.1 g,13 g
Rabdi Milkshake - Cavin's - 180 ml,"1,010 kj
(241 kcal)",,,,,,
TeaCountry Green tea -  - 1,"1,452 kj
(347 kcal)",23.5 g,63 g,0.1 g,,1.7 g,
Mixed Fruit Delight - Tropicana,"205 kj
(49 kcal)",0 g,12.3 g,0 g,,12 g,
Farali Chevdo,"2,464 kj
(589 kcal)",15.2 g,40.9 g,38.9 g,0 g,8 g,
choco cookies,"2,008 kj
(480 kcal)",5.8 g,68 g,20.5 g,,29 g,
Cream & Onion,"1,799 kj
(430 kcal)",10 g,75 g,10 g,10 g,5 g,1.712 g
Strawberries & Cream Protein Milk Shake,"272 kj
(65 kcal)",8.5 g,3.5 g,1.9 g,1.25 g,0 g,0 g
Lay's sizzling hot,"2,251 kj
(538 kcal)",6.6 g,53.9 g,33 g,,2.3 g,1.388 g
Ratlam sev,"23 kj
(5 kcal)",3.2 g,3.8 g,0 g,0.7 g,1.2 g,
Vegan Pistachio Millet Biscuit - Karachi's - 300 g,"2,391 kj
(571 kcal)",20.536 g,0.1 g,37.5 g,53.036 g,0.2 mg,8.929 g
Veg Hakka Noodles,"1,562 kj
(373 kcal)",12.667 g,78 g,1 g,0 g,0 g,1.208 g
Dutch Chocolate Flavoured Protein Powder - Isopure,"1,395 kj
(333 kcal)",75.758 g,3.03 g,1.515 g,3.03 g,,
Nandini goodlife pista flavouring milk,"389 kj
(93 kcal)",3 g,13.3 g,3.1 g,0 g,13.3 g,0 g
maaza - coco-cola - dest taste of mango& 200ml,"209 kj
(50 kcal)",0 g,12.5 g,0 g,0 g,12.3 g,0 g
Neycer - 500 ml,,,,,,,0.3 mg
Extra virgin olive oil - BORGES - 1 l,"3,766 kj
(900 kcal)",0 g,75 g,100 g,0 g,10 g,0 g
Poprings Masala - Balaji - 22 g,25 g,5.8 g,63.5 g,,,4 g,2.558 g
Max protein 7 grain breakfast cookie - RiteBite - 55 g,"1,966 kj
(470 kcal)",18.18 g,43.4 g,26.3 g,7.2 g,30.7 g,0 g
Nan pro2,,,0 g,0 g,,,
Parle-g,"1,900 kj
(454 kcal)",6.9 g,77.3 g,13 g,0 g,25.5 g,0.74 g
Marie light,"1,862 kj
(445 kcal)",9.1 g,77.4 g,11 g,,21.3 g,0.731 g
Sandwich plus,"2,176 kj
(520 kcal)",16.72 g,8 g,2 g,3.54 g,7.16 g,2.31 g
Nimbu Pani,"218 kj
(52 kcal)",0 g,14 g,0 g,,12 g,0 g
Harvest Gold White Bread,"950 kj
(227 kcal)",6.57 g,49 g,0.52 g,2.9 g,3 g,1.242 g
Mad Angles MMMMM Masala - Bingo,"2,251 kj
(538 kcal)",3.4 g,0.1 g,32.1 g,57.7 g,1 mg,
Ghee -  - 500ml,,,,,,,0%
Oat clusters and Ragi flakes eith strawberry,"1,817 kj
(434 kcal)",9.1 g,76.5 g,10.2 g,11.8 g,17.9 g,0.312 g
Badam Flavoured Milk - Godrej Jersey - 190 ml,"338 kj
(80 kcal)",3.1 g,13.7 g,1.5 g,,8.8 g,
Wafer Style Sundried Chilli Flavour - Lay's - 26.5 g,"2,255 kj
(539 kcal)",,0.1 g,33.6 g,1 g,52.5 g,6.7 g
Wafer Style Tangy Treat Flavour - Lay's - 26.5 g,"2,272 kj
(543 kcal)",,0.1 g,33.6 g,3.6 g,53.5 g,6.5 g
2-minute noodles - Maggi - 70g,"1,627.58 kj
(389 kcal)",2 g,0.13 g,13.5 g,1.8 g,59.6 g,8.2 g
Mala's -  - 500g,,,,,,,0%
Marie Gold - Britannia,"1,862 kj
(445 kcal)",8.4 g,78.9 g,10.7 g,,21.9 g,0.798 g
Oreo Cricket Edition,"2,506 kj
(599 kcal)",0 g,38 g,38 g,0 g,38 g,1.05 g
Chips Mast Masala - Haldiram's,"2,284 kj
(546 kcal)",6 g,54 g,34 g,,0.3 g,2.268 g
Sandwich bread,"1,054 kj
(252 kcal)",7.3 g,52 g,1.7 g,,3.2 g,1.138 g
Monaco,"2,059 kj
(492 kcal)",7.9 g,68.8 g,20.6 g,,8.4 g,2.228 g
Mixed Frozen Berries,"180 kj
(43 kcal)",0 g,6.9 g,0 g,3.8 g,6.7 g,0.002 g
Max Protein Chips Peri Peri - RiteBite,"2,000 kj
(477 kcal)",16.7 g,49.8 g,22.7 g,,3 g,0.833 g
Popz,"1,946 kj
(465 kcal)",7 g,71 g,17 g,3 g,32 g,
Basil seed drink,"628 kj
(150 kcal)",0 g,38 g,0 g,0 g,36 g,
test 2 - 100g,,,,,,,0%
Nutty Chips - Open Secret,"640 kj
(153 kcal)",4 g,15 g,8 g,,0.7 g,
Max Protien - RiteBite,"2,001 kj
(478 kcal)",16.667 g,49.667 g,22.833 g,6.667 g,4 g,2.083 g
Saundarya aloe vera gel -  - 150ml,,,,,,,0%
Klondike bar original,"1,181 kj
(282 kcal)",3.529 g,32.941 g,16.471 g,1.176 g,27.059 g,0.206 g
Smoodh,"341 kj
(81 kcal)",,,,,,
Happy Happy Choco-Chip Cookies - Parle - 60 g,"2,046 kj
(489 kcal)",30.6 g,0 g,20.1 g,71.3 g,0 mg,
Potato Lite - Haldiram Snacks Pvt. Ltd. - 15g,"2,004 kj
(479 kcal)",1.25 g,65.8 g,23.44 g,4.68 g,,2.36 g
Adrak Elaichi - Chaayos,"1,862 kj
(445 kcal)",18 g,57.9 g,16.1 g,,16.2 g,
PHALHARI CHIWDA - Haldiram - 45g,"2,490 kj
(596 kcal)",14.2 g,38 g,42 g,4.44 g,10 g,0.559 g
Nextar Soft Brownies - Nabati - 36 g,"1,971 kj
(471 kcal)",5 g,68 g,20 g,0 g,25 g,0.605 g
Delista macaroni - Haldiram's - 200g,"1,509 kj
(360 kcal)",9.8 g,78.1 g,1 g,,0.2 g,0 g
Punjabi Khichdi - Fortune - 60g,"1,490 kj
(356 kcal)",12 g,68 g,4 g,,1 g,0 g
Ginger Garlic paste - Bambind - 20g,"332 kj
(79 kcal)",0 g,0 g,0.42 g,15.48 g,0 mg,0 g
kachi ghani mustard oil - Nature fresh - 455g,"3,699 kj
(884 kcal)",0 g,0 g,100 g,0 g,0 g,0 g
maggi Pichkoo tomato ketchup - Nestle - 90g,"506 kj
(121 kcal)",0.9 g,30 g,0 g,1.3 g,26.5 g,1.942 g
Peanut Butter - Sundrop - 924g,"2,682 kj
(641 kcal)",26 g,19 g,15 g,5 g,8 g,0.875 g
Kerala virgin coconut oil,"171 kj
(40 kcal)",0 g,0 g,4.55 g,0 g,0 g,0 g
Milky bar - Nestlé - 42 g,"497 kj
(119 kcal)",1 g,0.05 g,27.3 g,39.9 g,51.6 g,11.1 g
Amul Kool Rose,"682 kj
(163 kcal)",5.6 g,22.5 g,5.6 g,,22.5 g,0.195 g
"Chokissimo Choco Brownie - Cornetto - 72 g, 110 ml","1,450 kj
(347 kcal)",28.8 g,0.111 g,16.7 g,43.5 g,1.25 mg,1.39 g
Vedica Zen - Bisleri - 500 ml,,0.035 g,,,,,13 mg
"Chocolate Chunk Nuts - Yoga Bar - 1pc, 38 g per serving","657 kj
(157 kcal)",4.7 g,24.3 g,5.6 g,3.2 g,7.6 g,
"Sun lite - Fortune - 1 l, 910 g","3,766 kj
(900 kcal)",0 g,14 g,100 g,2 g,49 g,0 g
Garam Masala - Priya - 100 g,"3,556 kj
(850 kcal)",0 mg,0.1 g,8 g,0 g,0.3 g,20 g
Hot and sweet sauce,"531 kj
(127 kcal)",11 g,31.5 g,0 g,0.8 g,27.4 g,1.974 g
kick,,,,,,,0%
Instant noodles chicken flavour - 70 g,"1,874 kj
(448 kcal)",10 g,65 g,16 g,,3 g,
TOMATO KETCHUP CLASSIC BLEND - Del Monte - 950 g,"452 kj
(108 kcal)",0 g,27 g,0 g,,18.4 g,1.62 g
Chocobakes - Cadbury - 126 g,"1,946 kj
(465 kcal)",41.1 g,0.1 g,21.9 g,63.7 g,4 mg,
Antioxydant mix,"2,492 kj
(595 kcal)",29.1 g,20.7 g,44 g,13.86 g,0 g,
Chocos - Kellogg's,"1,619 kj
(387 kcal)",9 g,83.6 g,2.9 g,5 g,30.5 g,0.33 g
Amul Cheese Slices - 100 g,"1,301 kj
(311 kcal)",0 g,75 mg,25 g,0 g,1.5 g,20 g
Spicy crackers,"1,827 kj
(436 kcal)",9.1 g,70.2 g,13.3 g,0 g,8.5 g,
Chocolate Wheat Flakes,"1,640 kj
(392 kcal)",11 g,80.6 g,2.8 g,8.2 g,28.9 g,
Roasted makhana,"1,958 kj
(468 kcal)",7 g,65 g,20 g,6 g,2 g,1.42 g
Lavash flatbread,"1,604 kj
(383 kcal)",12.74 g,77.7 g,2.39 g,0 g,4.78 g,0 g
Chocobakes - Cadbury - 75 g,"2,096 kj
(501 kcal)",39.7 g,0.1 g,24.5 g,66.2 g,"1,000 mg",
Puff - PRIYAGOLD - 40g,"2,079 kj
(497 kcal)",7.46 g,64.35 g,22.32 g,,29 g,0.406 g
Peanut Butter - Pintola - 1 kg,"625 kj
(149 kcal)",10 g,0 g,50 g,19 g,0 mg,5 g
Bisleri Limonata - 600 ml,"201 kj
(48 kcal)",0 g,11.9 g,0 g,,12.5 g,0 g
"Magnum Chocolate Truffle - Unilever - 62 g, 80 ml","770 kj
(184 kcal)",14.1 g,0.1 g,12.1 g,17 g,"15,000 mg",1.6 g
Nestea Iced Tea Lemon flavour - Nestlé - 200 ml,"105 kj
(25 kcal)",0 g,6 g,0 g,0 g,3.6 g,0 g
Garlic mixture - Rajam snacks - 800 g,"2,339 kj
(559 kcal)",,0.07 g,36.89 g,,42.32 g,14.41 g
Masala peanuts - sowbhagya foods,"2,146 kj
(513 kcal)",21.4 g,22.4 g,37.6 g,14.4 g,,0.8 g
Room freshner - 140g,140 g,,,,,,0%
Good Day Harmony - Britannia Industries Ltd - 120 g,"2,146 kj
(513 kcal)",64.8 g,10.5 g,25 g,"3,000 mg",2.8 g,21.5 g
Fantastik Chico Bar XL - Candyman,"2,243 kj
(536 kcal)",7.2 g,60.6 g,29.4 g,,51.6 g,
Khasta crispy masti,"625 kj
(149 kcal)",6 g,7.8 g,10.8 g,2.2 g,0.9 g,0.361 g
Godrej Jersey Paneer - 200 g,"1,218 kj
(291 kcal)",17 g,4 g,23 g,,,
Haldiram - 1 kg,"1,619 kj
(386 kcal)",12 g,65.1 g,7.4 g,11.3 g,0 g,5.1 g
Fresh rice vermicelli - Bun Tuoi - 200 g,"1,389 kj
(332 kcal)",4 g,80 g,0 g,2 g,0 g,0.8 g
Extra Virgin Olive oil - Del Monte - 250 ml,"3,448 kj
(824 kcal)",0 g,0 g,91.6 g,0 g,0 g,0 g
Nice Sugar sprinkled coconut biscuits - Dukes - 150g,"1,900 kj
(454 kcal)",7.4 g,74 g,14.5 g,,28.2 g,
Bhujia,"2,548 kj
(609 kcal)",14 g,37 g,45 g,6 g,0 g,1.995 g
Mixed fruit juice,"17 kj
(4 kcal)",0 g,12.2 g,0 g,,0 g,0 g
Horlicks - 200g,2 g,,14 g,,10 g,,
Center Fresh GUM - 7.2g,,,,,,,0%
Marinierte Sardellenfilets - Medusa,"582 kj
(139 kcal)",19 g,0.1 g,6.8 g,,0.1 g,
Oreo chocolatey sandwich biscuits,"2,021 kj
(483 kcal)",5 g,71.4 g,19.7 g,0 g,38 g,1.05 g
Organic Cow Ghee,"3,759 kj
(898 kcal)",0 g,0 g,99.84 g,0 g,0 g,0 g
Nutri Choice,"2,029 kj
(485 kcal)",8.6 g,68.4 g,21 g,6 g,14.4 g,1.158 g
Maggi Pichkoo,"582 kj
(139 kcal)",1.2 g,33.5 g,0 g,1.8 g,30.8 g,2.565 g
Mixed Berries alovera juice,"240 kj
(57 kcal)",0.6 g,13.8 g,0 g,5.3 g,13.3 g,0.162 g
Natkhat Nimbu Lemon Hit Namkeen,"576 kj
(137 kcal)",1.33 g,10.94 g,9.84 g,,0 g,
Healthy Breakfast Cereal,"502 kj
(120 kcal)",3.36 g,24.31 g,1.03 g,2.13 g,1.29 g,
Instant Bhel - Haldiram's - 44 g,"2,390 kj
(570 kcal)",14 g,43.8 g,36.5 g,5.66 g,8.61 g,0.889 g
Aloo Bhujia - Haldiram's - 42 g,"2,351 kj
(562 kcal)",8.68 g,46.1 g,38.12 g,0.83 g,0.25 g,1.562 g
Dairy milk chocolate fruit and nut,"2,184 kj
(522 kcal)",8.5 g,59 g,28.6 g,0 g,52.3 g,
Yippee magic masala,"1,925 kj
(460 kcal)",9 g,62.667 g,20 g,,3 g,3.118 g
Sunfeast Yippee! noodles Magic Masala - ITC - 405 g,"1,920 kj
(459 kcal)",,0 g,20.1 g,3 g,62.6 g,9 g
Peanut satay Chunky sauce - F.Whitlock and sons,"218 kj
(52 kcal)",1.3 g,5.9 g,2.6 g,,4.9 g,
Shri Neelkamal - 500g,"1,521 kj
(363 kcal)",10.02 g,78.99 g,0.83 g,5.8 g,0 g,0 g
CAKE 100% VEG Gobbles fruity fun - Britannia - 64g,"1,757 kj
(420 kcal)",57 g,6.4 g,18.4 g,0.1 g,3.6 g,26 g
Bambino Vermicelli - 90g,"1,510 kj
(361 kcal)",10.5 g,77.5 g,1 g,3 g,0 g,0 g
WeikField baking powder - 100g,"766 kj
(183 kcal)",0.1 g,45.6 g,0 g,0 g,0 g,0.1 g
WeikField Coco powder - 50g,"1,644 kj
(393 kcal)",23.2 g,49.7 g,11.1 g,0 g,0 g,0.1 g
Sunfeast Yippee noodles - 67.5 g,"1,920 kj
(459 kcal)",3 g,0 g,20.1 g,62.6 g,0 mg,0 g
Kwality x Wall's Desi Twist Creamy Kulfi - 700ml,"959 kj
(229 kcal)",4.31 g,26.6 g,,0.862 g,24 g,11.9 g
Fruit drink,"176 kj
(42 kcal)",0.5 g,10 g,0 g,,10 g,
Papacream X Rhea Kapoor Hazelnut Cold Coffee - 450ml,"769 kj
(183 kcal)",,19.7 g,10.12 g,,10.67 g,
All time mixture - Biicano,"669 kj
(160 kcal)",4 g,14 g,10 g,0 g,2 g,0.575 g
Cup noodles,"1,907 kj
(455 kcal)",10 g,60.9 g,19.2 g,,2.2 g,
Graine de tournesol au thé vert,"2,594 kj
(620 kcal)",24.5 g,13.6 g,52.6 g,0 g,4.3 g,1.79 g
Orange Burfee - Haldiram's - 250g,"1,238 kj
(296 kcal)",57.74 g,0 g,1.3 g,66.91 g,0 mg,1.81 g
Pizza and pasta sauce - Del Monte Quality - 100g,"900 kj
(215 kcal)",0 g,0 g,4.1 g,18.7 g,39.5 g,4.9 g
Veg mayonnaise for burger,"1,948 kj
(465 kcal)",1.6 g,20.1 g,42.1 g,,14.3 g,1.62 g
Amul kool elaichi flavour - 180 ml,"682 kj
(163 kcal)",,16 mg,5.6 g,22.5 g,22.5 g,5.6 g
KitKat - Nestlé - 38.5 g,"2,464 kj
(589 kcal)",6.4 g,51.2 g,25.6 g,2.5 g,33.2 g,0.243 g
Pure honey,"1,255 kj
(300 kcal)",0.3 g,82.4 g,0 g,0 g,82.12 g,0.1 g
Creamy Peanut Butter - MaraNatha,"418 kj
(100 kcal)",4.444 g,4.444 g,7.778 g,1.111 g,1.111 g,
नवजीवन हिंग - 10g,"1,485 kj
(355 kcal)",6.1 g,77.4 g,2.3 g,,,
Minute Maid Apple - 150 ml,"184 kj
(44 kcal)",,11 g,,,9 g,
Oats multigrain - Quaker,"1,669 kj
(399 kcal)",11.1 g,70.7 g,8 g,10 g,2.2 g,0.292 g
Atta with Multigrains,"1,548 kj
(370 kcal)",14 g,72 g,2 g,14 g,5 g,
هاي تي - 225,,,,,,,0%
Mirinda - PepsiCo Inc. - 250 ml,"230 kj
(55 kcal)",,13.8 g,,,13.8 g,15.24 g
Potato chips Star - 14g,"2,264 kj
(541 kcal)",6.3 g,56.6 g,32.2 g,4.08 g,3.6 g,114.7 g
कोल्हापूरी दरबार चिकन ६५ मिक्स - 200gm,"1,059 kj
(253 kcal)",3 g,58 g,1 g,,,
Chilli Chatka - 1kg,"2,335 kj
(558 kcal)",5.6 g,59.2 g,34.5 g,12 g,20 g,
Mango Smoothie with Mango Chunks - Sunfeast - 300 ml,"347 kj
(83 kcal)",,3 mg,1 g,17 g,17.4 g,1 g
Chocos Moons and Stars - Kellogg's - 350 g,3 g,8.67 g,30 g,,3.67 g,1.67 g,1 g
best ever sunlight - 1,"2 kj
(22 kcal)",,2 g,2 g,2 g,2 g,2 g
Good Day,"2,125 kj
(508 kcal)",6.6 g,67.7 g,23.4 g,,21.9 g,0.578 g
West Indies hotn sweet chilli,"2,234 kj
(534 kcal)",6.4 g,55.1 g,32 g,,6 g,1.678 g
Cadbury Crackle - Hindustan Unilever limited - 420g,"649 kj
(155 kcal)",2.3 g,19.2 g,7.7 g,0.6 g,16.6 g,0.091 g
veg mayonnaise - Dr. Oetker - 250g,"1,309 kj
(312 kcal)",0.9 g,21.3 g,24.9 g,,12.7 g,2.438 g
COFFEE,"1,569 kj
(375 kcal)",16 g,72 g,2 g,0 g,0 g,
2-minutes masala noodles - Nestle nutrition - 280g,"1,628 kj
(389 kcal)",8.2 g,59.6 g,13.5 g,2 g,1.8 g,1.028 g
OREO,,,,,,,0%
Just pomegranate,"70 kj
(16 kcal)",0.455 g,4.848 g,0 g,1.212 g,3.636 g,
Cheesy Sauce - Wingreens Farms - 180 g,"2,059 kj
(492 kcal)",6.5 g,1 g,50.5 g,8.3 g,"2,100 mg",
Soya milk powder - 500 g,"1,929 kj
(461 kcal)",49 g,22.3 g,18.7 g,21.4 g,0 g,1.178 g
Aloevera pulp & juice - Yoga pulp - 200ml,"137 kj
(32 kcal)",0 g,,0 g,,,
Chat Masala - BHARAT MASALA - 50g,"498 kj
(119 kcal)",4.5 g,22 g,1.5 g,,,
Treat Cream Wafers,"2,146 kj
(513 kcal)",6.3 g,67.5 g,24.2 g,0 g,41.6 g,
YiPPee Pasta Treat,"1,494 kj
(357 kcal)",12 g,70 g,4 g,0 g,7.7 g,
Doritos,"2,088 kj
(499 kcal)",7.1 g,65.1 g,23.4 g,,4.5 g,1.512 g
Mr noodles,"0 kj
(0 kcal)",8.96 g,60.35 g,22.37 g,6.15 g,2.09 g,0.969 g
Koko Krunch,"0 kj
(0 kcal)",6 g,57.8 g,12.5 g,3.2 g,16.7 g,2 g
Desi Ghee,"3,879 kj
(927 kcal)",0 g,0 g,99.7 g,0 g,0 g,
Garlic Paste,"527 kj
(126 kcal)",5.1 g,25.6 g,0.4 g,4.4 g,0 g,
Fanta,"234 kj
(56 kcal)",0 g,14 g,0 g,0 g,13.7 g,
Pazzta Masala Penne - Maggie - 65 g,"1,314 kj
(314 kcal)",10.3 g,66.3 g,1.7 g,3.6 g,3.6 g,2.008 g
The Whole Truth Bar Cranberry,"983 kj
(235 kcal)",12 g,21.2 g,11.8 g,2.2 g,14.6 g,
LION Layina dates,"1,351 kj
(323 kcal)",2.31 g,77.8 g,0.3 g,1.54 g,69.81 g,1.665 g
"Sunfeast Dark Fantasy Bourbon, Classic Biscuit - 50g",,,,,,,0%
real apple juice - 1l,,,,,,,3.85%
Sunfeast glucose biscuits,"1,828 kj
(437 kcal)",7.1 g,78.8 g,10.4 g,,28.5 g,5.75 g
Milk Blast,"2,429 kj
(580 kcal)",3.41 g,58.26 g,32.8 g,,44 g,
