food_item,calories,proteins,carbohydrates,fats,fibers,sugars,sodium
Tarmarind Sauce - nestle - 90 g,"741 kj
(177 kcal)",0.6 g,43.6 g,0 g,1.3 g,42.1 g,3.28 g
Boondi - Haldirams - 150 g,"2,443 kj
(584 kcal)",4.63 g,0 mg,41.17 g,0 g,39.55 g,13.75 g
Sugarlite - Zydus Wellness - 500 g,"41 kj
(9 kcal)",0 g,2.48 g,0 g,,2.48 g,
Black Bourbon,"1,966 kj
(470 kcal)",5.2 g,75.8 g,16.2 g,,42.8 g,0 g
Ginger garlic paste,"301 kj
(72 kcal)",2 g,16 g,0 g,,1 g,0 g
Raspberry preserve,"1,084 kj
(259 kcal)",0.7 g,65 g,0.1 g,,62 g,0 g
Dill tzatziki - 150 g,"494 kj
(118 kcal)",8.9 g,6.1 g,6.4 g,,2.62 g,0 g
Tropicana Mixed Fruit Juice,"247 kj
(59 kcal)",0 g,74 g,0 g,,70 g,0 g
Dark Fantasy,"218 kj
(52 kcal)",4 g,80 g,12 g,,79 g,9 g
N2H GULKAND,,,,,,,0%
Vedic era Wood Press Mustard Oil - 1 LTR Yellow Mustard Oil + 500 ml Mustard Oil,"3,752 kj
(896 kcal)",,0 g,99.5 g,,,
Fresca Lime,"276 kj
(66 kcal)",0.52 g,15.8 g,0 g,,0 g,0 g
I ball,,,,,,,0%
Karthi Keyan - Cadbury - 250 g,,,,,,,0%
Peanut butter nutrition bar,,0 g,,,,,
Takatak Baked Chilli Cheese - Haldiram's,"1,962 kj
(469 kcal)",7 g,71 g,17.5 g,,3.5 g,0 g
Britannia Treat,"2,059 kj
(492 kcal)",5 g,73 g,20 g,,36.5 g,0 g
lays maxx macho chilli flavour,,,,,,,0%
dabur gulabari,,,,,,,0%
Nutriplato Roasted 5 Seeds Blend - 300 g,"626 kj
(149 kcal)",0.57 g,2.94 g,10.77 g,5.64 g,5.85 g,3.63 g
britannia treat croissant vanilla creme roll,,,,,,,0%
Gummy Vites,"0 kj
(0 kcal)",0 g,0 g,0 g,,0 g,0 g
Weetabix - 450 g,"1,498 kj
(358 kcal)",11.1 g,66 g,2.3 g,,2 g,0.24 g
Green chutney style - kurkure,"2,326 kj
(556 kcal)",5.3 g,56.3 g,34.4 g,,1.9 g,1 g
maggi coconut milk powder,,,,,,,78.60%
balaji wafers crunchex -,,,,,,,0%
balaji wafers chataka pataka -,,,,,,,0%
Spiced Okra Chips,"2,448 kj
(585 kcal)",7.41 g,36.25 g,9.6 g,,6.12 g,0 g
Organic peanut butter - 350 g,"2,674 kj
(639 kcal)",30 g,18 g,49 g,,3 g,19 g
Butter Bite,"628 kj
(150 kcal)",2 g,20 g,7 g,,5 g,1 g
Mango,"213 kj
(51 kcal)",0 g,10.07 g,0 g,,10.07 g,0.016 g
fabelle dark chocolate -,,,,,,,0%
Pata negra,,0 g,,,,,
Bourbon,"1,987 kj
(475 kcal)",6 g,17.1 g,74.3 g,,9 g,1 g
Coriander powder - Swastik,,,,,,,0%
Veggie stix,"1,966 kj
(470 kcal)",6.6 g,71 g,17.9 g,,2.9 g,7.6 g
Kelloyy's Wheat Flakes,,,,,,,0%
Whole Wheat Bread - Fresho,"1,125 kj
(269 kcal)",8.4 g,53 g,2.6 g,,18.8 g,
Shubham - Nandini,"310 kj
(74 kcal)",3.3 g,4.8 g,4.6 g,,4.8 g,
