#{"t_start": 1749475777.1533613, "env_id": "None"}
r,l,t
1.002504,7,17.954467
0.49215,7,17.965515
0.634169,7,17.974514
1.457375,7,17.984515
1.132162,7,17.994514
0.890062,7,18.003514
0.341863,7,18.013513
1.139743,7,18.022515
0.974167,7,18.032512
1.023224,7,18.042516
1.263713,7,18.051523
1.35138,7,18.062035
-0.135122,7,18.072032
0.690067,7,18.081031
1.134067,7,18.092032
1.025537,7,18.103032
1.128877,7,18.115034
1.039357,7,18.128031
1.289503,7,18.140033
1.390727,7,18.154039
1.301782,7,18.168184
0.779744,7,18.184185
1.392405,7,18.199185
0.88798,7,18.211184
0.84157,7,18.224183
1.399847,7,18.237184
1.075883,7,18.249192
1.120858,7,18.263705
0.850429,7,18.276703
1.092584,7,18.289703
0.743174,7,18.302702
0.730473,7,18.315704
1.151952,7,18.329701
0.747405,7,18.343708
0.990128,7,18.359221
0.953352,7,18.374222
1.307172,7,18.38622
1.120452,7,18.398218
1.087467,7,18.40822
-0.08674,7,18.419218
0.01553,7,18.429219
0.872702,7,18.437221
1.198507,7,18.444223
-0.982237,7,18.452223
1.079659,7,18.459732
0.578861,7,18.468734
0.453793,7,18.475733
1.234856,7,18.483731
1.066494,7,18.490731
0.605488,7,18.499732
1.105258,7,18.507737
-2.186882,7,18.515733
1.140183,7,18.522735
0.920238,7,18.529732
1.118217,7,18.536731
1.15926,7,18.544738
1.259796,7,18.551738
0.115389,7,18.56025
1.424511,7,18.572252
-39.103994,7,18.586251
-0.175022,7,18.599894
0.989778,7,18.612891
1.213557,7,18.623903
0.11827,7,18.635893
1.003329,7,18.648902
1.158058,7,18.661417
1.263331,7,22.444199
1.068539,7,22.452202
1.397459,7,22.459206
1.124002,7,22.466717
1.238177,7,22.47472
1.091297,7,22.481719
1.398964,7,22.48872
0.872567,7,22.495719
1.468665,7,22.502719
1.087597,7,22.51072
1.196384,7,22.51772
0.753706,7,22.525719
0.881827,7,22.532721
0.483031,7,22.54072
1.236191,7,22.548725
0.790853,7,22.555726
1.141395,7,22.563238
1.01709,7,22.57224
1.129196,7,22.580237
1.04058,7,22.589239
1.366617,7,22.596238
1.069932,7,22.603235
1.057688,7,22.611239
0.206733,7,22.618238
0.953478,7,22.626238
0.978976,7,22.634236
0.823893,7,22.641236
1.203417,7,22.64824
1.153115,7,22.657244
1.136283,7,22.664758
-12.438411,7,22.672761
1.112191,7,22.679757
1.423181,7,22.687756
0.958076,7,22.69476
0.754426,7,22.701759
1.07422,7,22.708756
1.089382,7,22.716756
0.864291,7,22.723759
1.138349,7,22.731759
1.121026,7,22.739759
1.300316,7,22.746765
0.662675,7,22.753765
1.316444,7,22.76127
1.218772,7,22.768277
1.466214,7,22.776276
-0.156367,7,22.783276
1.296209,7,22.791276
0.76971,7,22.799276
1.231066,7,22.806273
1.176422,7,22.814274
0.528,7,22.822274
-0.017742,7,22.830274
0.668323,7,22.838279
1.315229,7,22.846278
1.38131,7,22.853283
0.979663,7,22.860786
1.250506,7,22.867792
0.88167,7,22.875792
1.198845,7,22.883792
1.161718,7,22.890791
0.729653,7,22.89879
1.253114,7,22.90579
0.970772,7,22.912791
1.199481,7,22.92179
1.044055,7,22.928792
0.932631,7,22.936792
0.526498,7,22.943792
1.232604,7,22.951798
1.328604,7,22.959795
1.196966,7,22.966306
0.886558,7,22.974304
1.153942,7,22.981302
1.276004,7,22.988302
1.236481,7,22.996305
1.397871,7,23.003303
1.276102,7,23.011302
1.123158,7,23.018304
1.009074,7,23.025304
1.227901,7,23.033304
1.112447,7,23.040305
0.722505,7,23.047308
1.210616,7,23.05431
0.634346,7,23.061824
1.268485,7,23.068823
1.11512,7,23.077446
0.840956,7,23.084456
-0.030379,7,23.091459
1.2381,7,23.098458
1.101312,7,23.106458
0.670387,7,23.114454
1.00077,7,23.122454
1.275722,7,23.129448
1.286946,7,23.137445
0.942086,7,23.146451
1.169287,7,23.154452
0.918822,7,23.162973
0.975282,7,23.170962
0.937828,7,23.177963
1.3053,7,23.184963
1.235164,7,23.191961
0.828102,7,23.198961
1.393833,7,23.20696
0.970055,7,23.213963
0.85954,7,23.221963
1.288837,7,23.228964
1.11244,7,23.236963
1.249587,7,23.243963
0.262566,7,23.250967
0.746422,7,23.258969
1.22232,7,23.266476
0.624263,7,23.273475
0.855073,7,23.281477
1.267484,7,23.290476
0.66854,7,23.298475
1.424933,7,23.305475
0.931747,7,23.313475
1.191219,7,23.320477
0.893135,7,23.327477
0.898922,7,23.334475
1.43139,7,23.341475
1.215976,7,23.350481
0.958372,7,23.357479
1.030051,7,23.36499
1.517217,7,23.371992
1.050443,7,23.37999
1.309273,7,23.388991
1.189877,7,23.398991
1.173129,7,23.406989
1.068764,7,23.413989
-10.332836,7,23.42199
1.201488,7,23.428988
0.856027,7,23.435991
0.539562,7,23.443989
1.377919,7,23.450991
1.214367,7,23.457994
1.401781,7,23.465103
1.019169,7,23.474105
-0.158455,7,23.481103
0.05935,7,23.489106
1.053471,7,23.496105
1.152253,7,23.504106
1.43815,7,23.513106
0.829396,7,23.521109
1.137321,7,23.528103
1.264349,7,23.536105
0.926938,7,23.543105
1.08329,7,23.551111
1.19394,7,23.558111
0.934394,7,23.565618
1.233638,7,23.572618
0.939654,7,23.579615
0.461068,7,23.588616
0.924802,7,23.596616
1.257993,7,23.603614
1.356559,7,23.610614
1.250444,7,23.617614
0.299523,7,23.625617
1.310628,7,23.632252
0.755099,7,23.640249
1.20173,7,23.649258
0.769155,7,23.657259
1.12568,7,23.664416
1.136118,7,23.672413
1.448654,7,23.679417
1.112135,7,23.686415
1.258072,7,23.694414
1.058032,7,23.701415
1.110919,7,23.708413
1.096667,7,23.716413
0.996108,7,23.723416
1.248495,7,23.732416
0.373014,7,23.739416
-0.085265,7,23.74842
0.699818,7,23.75542
1.085523,7,23.763932
1.348585,7,23.770931
1.1982,7,23.77793
1.310309,7,23.78593
1.019848,7,23.792932
0.976457,7,23.799932
1.190675,7,23.80793
0.555383,7,23.81493
0.796512,7,23.822934
1.295065,7,23.829931
1.270307,7,23.837932
1.164924,7,23.845932
0.897336,7,23.852941
1.154218,7,23.859941
1.258949,7,23.868457
1.427929,7,23.876456
1.377617,7,23.883454
1.092075,7,23.891457
1.038354,7,23.898456
1.175333,7,23.905457
1.154746,7,23.913457
0.890172,7,23.921457
1.083864,7,23.928457
0.935606,7,23.936459
0.691749,7,23.944456
-2.710265,7,23.952462
0.831942,7,23.959462
0.974068,7,23.966973
-2.223555,7,23.973971
0.763752,7,23.981973
1.321574,7,23.988974
0.449455,7,23.996974
0.967921,7,24.003971
0.939353,7,24.011974
1.259976,7,24.019971
1.167316,7,24.026977
0.733537,7,24.034974
0.768609,7,24.042975
0.97269,7,24.050977
0.687348,7,24.05798
0.845033,7,24.065487
1.406237,7,24.073488
1.194108,7,24.081487
1.219605,7,24.088488
1.32407,7,24.095485
0.903748,7,24.104486
1.129194,7,24.113487
0.755888,7,24.120486
0.647598,7,24.129487
0.888253,7,24.136485
1.180778,7,24.144488
-0.566779,7,24.152494
1.21362,7,24.160496
0.545584,7,24.168003
1.246473,7,24.177005
1.032908,7,24.184004
0.822713,7,24.192001
1.128389,7,24.199001
1.182327,7,24.206003
1.264388,7,24.214004
1.198464,7,24.222003
0.986004,7,24.229001
1.207415,7,24.237003
1.243854,7,24.244001
1.150454,7,24.251008
0.350875,7,24.259007
0.372793,7,24.266521
0.293421,7,24.273518
0.935329,7,24.281519
1.212469,7,24.288518
1.363222,7,24.296522
1.210077,7,24.306516
1.279429,7,24.315516
1.166363,7,24.323517
1.086501,7,24.330517
1.268029,7,24.338519
1.162811,7,24.345517
0.069282,7,24.353523
1.247988,7,24.360523
1.105109,7,24.368029
1.310201,7,24.375032
0.93695,7,24.383029
1.046362,7,24.390029
1.035927,7,24.399032
1.451672,7,24.407031
1.205446,7,24.415032
1.126433,7,24.422031
1.26027,7,24.430029
1.284976,7,24.438031
0.692021,7,24.446029
0.948178,7,24.453035
1.276423,7,24.460034
1.256878,7,24.467543
1.024381,7,24.475545
-0.845542,7,24.482543
1.403774,7,24.490543
1.208122,7,24.497545
1.183083,7,24.506544
0.903404,7,24.513545
1.361291,7,24.521544
1.259463,7,24.528545
