pop_size,n_gen,cxpb,mutpb,overall_score,critical_score,num_foods,exec_time
64,68,0.8006272517160176,0.6425959364753289,62.5,46.666666666666664,8,26.770551443099976
59,94,0.7325868854162859,0.32822749896017195,62.5,60.0,7,20.764198064804077
56,98,0.8734397867110008,0.5545614389784045,60.0,40.0,8,33.819584369659424
74,73,0.8354336684765964,0.5293468166687733,62.5,46.666666666666664,7,37.979971170425415
87,82,0.8622408353472006,0.628255790297582,72.5,60.0,7,50.31959080696106
66,52,0.8640853687542536,0.5605939087431151,75.0,66.66666666666667,8,39.70673155784607
83,62,0.7429178239416748,0.4509036332911903,52.5,20.0,8,22.41416907310486
89,72,0.7142377296920458,0.4275902521175045,60.0,40.0,8,13.028530359268188
80,59,0.7046543871471651,0.6257873930355743,67.5,73.33333333333333,8,50.09592938423157
61,53,0.8385780717383879,0.4393346417812789,47.5,20.0,7,22.34360694885254
65,78,0.7078372653351293,0.4671784126862315,55.0,40.0,7,31.280674934387207
90,59,0.7846941884616236,0.5274081134999833,55.0,40.0,8,61.477468967437744
89,98,0.846329551059928,0.35107589176898624,47.5,20.0,8,29.433295488357544
93,81,0.7681607080506035,0.6723029302414258,52.5,20.0,7,52.732247829437256
91,61,0.7857988054750037,0.6003484271165989,75.0,80.0,8,33.72735404968262
79,84,0.7206247737671865,0.6610211626718266,55.0,40.0,8,18.5534987449646
74,97,0.7779236172438406,0.41905406980372434,77.5,73.33333333333333,8,20.472190380096436
73,98,0.7106970593494737,0.6834165987532793,52.5,20.0,7,31.68451428413391
73,61,0.7709810380925441,0.6827203540505825,47.5,20.0,7,34.29481220245361
